ID_REF	VALUE
syc0001-h_at	161.0996265
syc0002-h_at	300.4153653
syc0003-m_at	250.884432
syc0004-m_at	132.9163192
syc0005-m_at	79.07649976
syc0006-h_at	407.1242034
syc0007-m_at	126.3300798
syc0008-m_at	158.9069464
syc0009-m_at	167.1920219
syc0010-h_at	2752.462627
syc0011-m_at	160.8055969
syc0012-h_at	1888.497407
syc0013-m_at	2822.36185
syc0014-m_at	377.1788717
syc0015-h_at	952.22911
syc0016-m_at	117.7638958
syc0017-m_at	324.1088492
syc0018-m_at	51.16414535
syc0019-h_at	1561.935007
syc0020-h_at	1051.711432
syc0021-h_at	46.06922306
syc0022-m_at	62.04040116
syc0023-m_at	428.206494
syc0024-m_at	140.21527
syc0025-h_at	183.9313938
syc0026-h_at	202.9916407
syc0027-h_at	355.1714351
syc0028-m_at	14.33461978
syc0029-m_at	61.57856411
syc0030-m_at	127.4177578
syc0031-m_at	47.07693571
syc0032-m_at	41.04017744
syc0033-m_at	38.92473953
syc0034-h_at	335.6458252
syc0035-h_at	579.1945748
syc0036-m_at	41.25691695
syc0037-h_at	150.0614036
syc0038-m_at	141.0314754
syc0039-h_at	100.3853381
syc0040-m_at	124.9598116
syc0041-h_at	253.4086626
syc0042-h_at	172.523434
syc0043-m_at	175.1498145
syc0044-h_at	2460.206073
syc0045-h_at	185.8883185
syc0046-h_at	272.6743116
syc0047-h_at	573.5400616
syc0048-h_at	1083.698434
syc0049-m_at	200.8397297
syc0050-m_at	2544.623224
syc0051-m_at	1661.089353
syc0052-m_at	680.5436598
syc0053-m_at	737.4678113
syc0054-m_at	1445.06325
syc0055-m_at	723.3224628
syc0056-m_at	901.9886194
syc0057-m_at	217.4838129
syc0058-h_at	90.57419885
syc0059-m_at	75.55124753
syc0060-m_at	1249.545086
syc0061-m_at	405.6240541
syc0062-h_at	75.53133806
syc0063-m_at	136.6901252
syc0064-h_at	70.35254659
syc0065-m_at	387.0748032
syc0066-m_at	662.4307847
syc0067-h_at	84.65710813
syc0068-h_at	67.93330211
syc0069-h_at	83.19126945
syc0070-m_at	2330.011811
syc0071-m_at	4974.770516
syc0072-m_at	1373.999427
syc0073-m_at	2678.999043
syc0074-m_at	3725.55348
syc0075-m_at	1238.114083
syc0076-m_at	1044.49331
syc0077-m_at	364.7026625
syc0078-m_at	203.9995511
syc0079-h_at	1147.247661
syc0080-m_at	316.097578
syc0081-m_at	119.6431498
syc0082-h_at	223.1311178
syc0083-h_at	80.84057968
syc0084-h_at	760.0187089
syc0085-h_at	324.8452866
syc0086-h_at	162.3246629
syc0087-m_at	542.3780266
syc0088-m_at	131.8099756
syc0089-m_at	5817.830245
syc0090-m_at	2937.738811
syc0091-m_at	781.0859964
syc0092-m_at	741.5079768
syc0093-h_at	3802.38516
syc0094-h_at	11970.81289
syc0095-m_at	24.27003933
syc0096-m_at	52.96396914
syc0097-m_at	706.3007184
syc0098-m_at	312.725274
syc0099-m_at	301.6898854
syc0100-h_at	165.4616877
syc0101-h_at	746.340655
syc0102-h_at	782.8768122
syc0103-h_at	2145.503244
syc0104-h_at	2032.013819
syc0105-m_at	216.1927134
syc0106-h_at	1277.772915
syc0107-h_at	251.6251168
syc0108-m_at	645.3285151
syc0109-h_at	585.1498487
syc0110-h_at	1159.310394
syc0111-m_at	1633.265348
syc0112-m_at	338.6407889
syc0113-h_at	7365.544093
syc0114-h_at	99.51577195
syc0115-m_at	61.97646028
syc0116-m_at	605.7473198
syc0117-m_at	1224.73204
syc0118-m_at	900.6904247
syc0119-m_at	126.2496453
syc0120-m_at	297.3525983
syc0121-m_at	162.0368253
syc0122-m_at	6094.577077
syc0123-h_at	548.0166802
syc0124-m_at	387.3926862
syc0125-h_at	3108.223424
syc0126-m_at	551.1142446
syc0127-m_at	921.297649
syc0128-h_at	255.387066
syc0129-h_at	8527.02574
syc0130-h_at	10153.73713
syc0131-h_at	781.1800859
syc0132-h_at	1674.242087
syc0133-h_at	3663.658213
syc0134-h_at	5779.647715
syc0135-h_at	9007.631774
syc0136-h_at	372.2167238
syc0137-h_at	627.6791514
syc0138-h_at	266.928165
syc0139-h_at	739.2337206
syc0140-m_at	3108.072344
syc0141-m_at	344.3583123
syc0143-h_at	137.1351915
syc0144-m_at	913.3008357
syc0145-m_at	199.2727156
syc0146-m_at	2311.090228
syc0147-h_at	165.0616993
syc0148-h_at	64.27011452
syc0149-h_at	226.1296872
syc0150-m_at	278.5181996
syc0151-h_at	116.749361
syc0152-m_at	308.4637075
syc0153-m_at	144.5808023
syc0154-h_at	191.9101441
syc0155-m_at	616.8101994
syc0156-m_at	400.4915214
syc0157-m_at	406.1320961
syc0158-m_at	106.3966883
syc0159-h_at	1722.477009
syc0160-m_at	160.0537703
syc0161-h_at	171.7731433
syc0162-h_at	208.6776079
syc0163-h_at	32.16305992
syc0164-m_at	30.44714533
syc0165-h_at	34.4189143
syc0166-m_at	1064.23512
