ID_REF	VALUE
syc0001-h_at	116.4832492
syc0002-h_at	290.597507
syc0003-m_at	312.4551343
syc0004-m_at	214.5596787
syc0005-m_at	95.46631487
syc0006-h_at	272.536637
syc0007-m_at	225.0318444
syc0008-m_at	237.232161
syc0009-m_at	304.1156356
syc0010-h_at	1991.860728
syc0011-m_at	129.0116002
syc0012-h_at	1559.690277
syc0013-m_at	2269.476346
syc0014-m_at	872.3309631
syc0015-h_at	6624.973209
syc0016-m_at	169.6809214
syc0017-m_at	505.6009035
syc0018-m_at	74.70262519
syc0019-h_at	1654.767916
syc0020-h_at	1145.807328
syc0021-h_at	44.63262649
syc0022-m_at	71.88183742
syc0023-m_at	310.286376
syc0024-m_at	104.6010575
syc0025-h_at	252.3617763
syc0026-h_at	334.6823504
syc0027-h_at	548.1765239
syc0028-m_at	19.27923239
syc0029-m_at	460.5356533
syc0030-m_at	494.2005024
syc0031-m_at	185.9839703
syc0032-m_at	132.0682014
syc0033-m_at	82.47177156
syc0034-h_at	206.5189339
syc0035-h_at	420.8142446
syc0036-m_at	35.26156622
syc0037-h_at	101.222096
syc0038-m_at	133.4278434
syc0039-h_at	110.2914701
syc0040-m_at	136.0060639
syc0041-h_at	194.1868621
syc0042-h_at	151.8668842
syc0043-m_at	197.3989041
syc0044-h_at	3689.667791
syc0045-h_at	225.8197813
syc0046-h_at	224.9563136
syc0047-h_at	422.9876478
syc0048-h_at	755.2929856
syc0049-m_at	177.8223499
syc0050-m_at	2374.283703
syc0051-m_at	1592.399212
syc0052-m_at	550.3019854
syc0053-m_at	512.2237688
syc0054-m_at	1254.695312
syc0055-m_at	625.398558
syc0056-m_at	952.1591332
syc0057-m_at	190.3586426
syc0058-h_at	87.79220224
syc0059-m_at	78.8647234
syc0060-m_at	1035.25604
syc0061-m_at	386.2297945
syc0062-h_at	71.4483728
syc0063-m_at	210.4296368
syc0064-h_at	84.46553671
syc0065-m_at	375.7704139
syc0066-m_at	654.9271121
syc0067-h_at	1625.403313
syc0068-h_at	1629.027186
syc0069-h_at	1926.281785
syc0070-m_at	2535.566691
syc0071-m_at	4165.021294
syc0072-m_at	1087.001098
syc0073-m_at	1823.230993
syc0074-m_at	2791.494844
syc0075-m_at	854.3360139
syc0076-m_at	833.1087302
syc0077-m_at	309.5833067
syc0078-m_at	154.826708
syc0079-h_at	1762.824404
syc0080-m_at	342.6265284
syc0081-m_at	163.5786189
syc0082-h_at	183.7615217
syc0083-h_at	78.22676602
syc0084-h_at	1142.671926
syc0085-h_at	398.6812144
syc0086-h_at	148.2243806
syc0087-m_at	361.4449322
syc0088-m_at	86.96719515
syc0089-m_at	6984.26288
syc0090-m_at	3531.123049
syc0091-m_at	661.9862269
syc0092-m_at	830.4571202
syc0093-h_at	4448.098428
syc0094-h_at	12589.63625
syc0095-m_at	54.3890486
syc0096-m_at	53.05371329
syc0097-m_at	1083.803314
syc0098-m_at	273.7911843
syc0099-m_at	304.1394981
syc0100-h_at	115.8241844
syc0101-h_at	485.5032582
syc0102-h_at	455.441365
syc0103-h_at	1708.806974
syc0104-h_at	1791.877494
syc0105-m_at	178.6549223
syc0106-h_at	1270.310811
syc0107-h_at	299.0056479
syc0108-m_at	557.8256886
syc0109-h_at	583.1354957
syc0110-h_at	850.5823037
syc0111-m_at	2884.207579
syc0112-m_at	492.4692219
syc0113-h_at	6853.632807
syc0114-h_at	95.13707489
syc0115-m_at	78.2870564
syc0116-m_at	429.4343929
syc0117-m_at	914.6260075
syc0118-m_at	1095.262005
syc0119-m_at	78.55480826
syc0120-m_at	288.7610849
syc0121-m_at	142.3506517
syc0122-m_at	4925.052375
syc0123-h_at	391.9379859
syc0124-m_at	331.3596572
syc0125-h_at	2987.065003
syc0126-m_at	503.4622549
syc0127-m_at	1144.906675
syc0128-h_at	191.8626525
syc0129-h_at	6302.609903
syc0130-h_at	8762.072461
syc0131-h_at	637.5400719
syc0132-h_at	1072.237422
syc0133-h_at	2502.580565
syc0134-h_at	3814.526771
syc0135-h_at	7466.435675
syc0136-h_at	531.9042631
syc0137-h_at	1083.063093
syc0138-h_at	318.5419546
syc0139-h_at	692.5920771
syc0140-m_at	2618.710197
syc0141-m_at	230.4676957
syc0143-h_at	164.8948459
syc0144-m_at	1318.423561
syc0145-m_at	301.8782568
syc0146-m_at	2098.036712
syc0147-h_at	156.8817038
syc0148-h_at	73.32630122
syc0149-h_at	147.2618464
syc0150-m_at	252.9229218
syc0151-h_at	99.08275877
syc0152-m_at	316.4606631
syc0153-m_at	151.9208224
syc0154-h_at	675.5165886
syc0155-m_at	591.9501774
syc0156-m_at	356.4772138
syc0157-m_at	400.0804689
syc0158-m_at	112.0151564
syc0159-h_at	3760.784162
syc0160-m_at	332.4163736
syc0161-h_at	194.7920017
syc0162-h_at	179.750945
syc0163-h_at	50.98119659
syc0164-m_at	32.22546661
syc0165-h_at	293.3183511
syc0166-m_at	951.4867926
syc0167-m_s_at	5340.471187
syc0168-h_at	120.1318454
syc0169-h_at	266.4020574
syc0170-m_at	243.9481845
syc0171-m_at	450.0674476
syc0172-h_at	110.9186431
syc0173-m_at	1987.244381
syc0174-h_at	200.7796485
syc0175-h_at	120.7992241
syc0176-h_at	173.9582279
syc0177-h_at	165.7034505
syc0178-h_at	429.390142
syc0179-m_at	136.8733473
syc0180-h_at	445.9597993
syc0181-m_at	637.0882911
syc0182-m_at	344.1276996
syc0183-m_at	148.8651676
syc0184-m_at	960.1452506
syc0185-h_at	171.6844536
syc0186-m_at	210.5303862
syc0187-h_at	224.607291
syc0188-h_at	402.1399653
syc0189-h_at	122.194889
syc0190-m_at	228.8922023
syc0191-m_at	281.3205974
syc0192-h_at	689.1731901
syc0193-h_at	404.8985743
syc0194-h_at	397.4868198
syc0195-h_at	353.8362878
syc0196-m_at	450.9625184
syc0197-m_at	328.1631919
syc0198-m_at	113.9013019
syc0199-m_at	144.3199824
syc0200-m_at	353.6613755
syc0201-m_at	137.6468012
syc0202-h_at	102.3400636
syc0203-h_at	193.077415
syc0204-h_at	1477.444894
syc0205-m_at	234.3029665
syc0206-m_at	204.9189387
syc0207-m_at	155.3716672
syc0208-h_at	955.6389914
syc0209-h_at	1893.407472
syc0210-h_at	2357.135534
syc0211-h_at	1847.698237
syc0212-h_at	307.7779221
syc0213-h_at	219.6512454
syc0214-m_at	1170.198992
syc0215-m_at	1523.503077
syc0216-m_at	1251.659415
syc0217-h_at	209.8775335
syc0218-h_at	86.76912183
syc0219-h_at	195.7702469
syc0220-h_at	66.81683703
syc0221-h_at	125.9471006
syc0222-h_at	226.6075687
syc0223-h_at	508.2210634
syc0224-h_at	1011.313059
syc0225-h_at	823.0363989
syc0226-h_at	1645.501864
syc0227-h_at	134.7881126
syc0228-h_at	190.5889834
syc0229-h_at	137.2962421
syc0230-m_at	207.4079643
syc0231-h_at	135.6104461
syc0232-h_at	9782.035981
