Reporter Identifier	VALUE
637798406	-0.126098706
637798407	-0.545402505
637798408	0.025414686
637798409	-0.026053083
637798410	0.002069447
637798411	0.02167946
637798412	-0.002813593
637798413	-0.001955864
637798414	-0.318765938
637798415	-0.062144673
637798416	-0.540905965
637798417	-0.76689541
637798418	-0.380961697
637798419	-0.037467647
637798420	0.015625486
637798421	0.098659916
637798422	-0.05744133
637798423	-0.097633624
637798424	-0.274901755
637798425	-0.090670424
637798426	-0.065411031
637798427	0.346638983
637798428	0.526212527
637798429	0.376380304
637798430	0.203657198
637798431	-0.007451239
637798432	-0.098671989
637798433	0.625306909
637798434	-0.102202553
637798435	-0.055759371
637798436	-0.226738434
637798437	-0.08230817
637798438	-0.308620167
637798439	-0.100393909
637798440	0.083694261
637798441	0.013516569
637798442	0.025076808
637798443	-0.040535185
637798444	0.152428007
637798445	0.15929596
637798446	0.245026711
637798448	-0.86312776
637798449	-0.280306397
637798450	0.083263125
637798451	-0.070409688
637798452	-0.323706425
637798453	-0.018716414
637798454	-0.631204045
637798455	-0.989564465
637798456	0.0928551
637798457	0.114264856
637798458	0.124651834
637798459	0.132204799
637798460	-0.090841621
637798461	-0.174949939
637798462	0.183779249
637798463	0.178135473
637798464	0.103827975
637798465	0.009658141
637798466	0.211266212
637798467	0.022155019
637798468	0.131777281
637798469	-0.080061047
637798470	-0.056668205
637798471	-0.170766171
637798472	0.141753291
637798473	-0.184990161
637798474	0.0733389
637798475	-0.256755018
637798476	0.075338645
637798477	0.058811634
637798478	-0.103480134
637798479	-0.121851733
637798480	0.28229865
637798481	-0.186300793
637798482	-0.325881887
637798483	-0.121738111
637798484	-0.219423505
637798485	-0.064669264
637798486	-0.003751936
637798487	-0.248170927
637798488	0.114626387
637798489	-0.038795256
637798490	0.107645707
637798491	-0.388539623
637798492	-0.197305733
637798493	-0.202059122
637798494	-0.037754563
637798495	-0.346910448
637798496	0.021790626
637798497	0.014766782
637798498	-0.278911537
637798499	-0.024426163
637798500	0.145840707
637798501	-0.009403368
637798502	0.157651017
637798503	-0.125807327
637798504	-0.14516167
637798505	0.531300469
637798506	-0.487484905
637798507	-0.277797121
637798508	0.106848844
637798509	-0.118405112
637798510	0.207306103
637798511	-0.071181322
637798512	-0.061969999
637798513	0.09932258
637798514	0.192634423
637798515	-0.073425106
637798516	0.131618146
637798517	0.02534456
637798518	-0.067799887
637798519	0.144462455
637798520	-0.685170461
637798521	0.210884469
637798522	0.130212562
637798523	0.244856125
637798524	-0.246072083
637798525	-0.137897177
637798526	-0.358790485
637798527	0.010161396
637798528	0.088805008
637798529	0.017652249
637798530	0.13079838
637798531	0.15579404
637798532	-0.25449328
