Reporter Identifier	VALUE
637798406	-0.012735043
637798407	0.004442194
637798408	0.081733019
637798409	0.060794268
637798410	-0.11143512
637798411	-0.319056312
637798412	0.045165891
637798413	0.041176839
637798414	-0.005258012
637798415	-0.237956371
637798416	-0.211225292
637798417	-0.14657882
637798418	0.175196133
637798419	-0.288900136
637798420	0.005130269
637798421	-0.186620258
637798422	-0.179459334
637798423	0.080532231
637798424	-0.340003602
637798425	0.01397476
637798426	-0.153121152
637798427	0.083103631
637798428	-0.037913139
637798429	-0.077707744
637798430	0.171621433
637798431	0.010291272
637798432	0.150147092
637798433	0.45882431
637798434	-0.101532955
637798435	0.083064255
637798436	-0.013995687
637798437	-0.221184499
637798438	-0.383964874
637798439	-0.012203458
637798440	-0.049054307
637798441	0.213630934
637798442	-0.061496949
637798443	-0.105416617
637798444	-0.963252972
637798445	-0.119591579
637798446	-0.076911688
637798448	0.216086591
637798449	-0.156171926
637798450	0.092754276
637798451	0.003874773
637798452	-0.487448606
637798453	0.032431425
637798454	-0.181850802
637798455	0.081540684
637798456	-0.069872933
637798457	-0.091241874
637798458	-0.13482801
637798459	-0.045435732
637798460	-0.368206723
637798461	-0.200899392
637798462	-0.343152088
637798463	-0.115913072
637798464	-0.142578635
637798465	-0.097974984
637798466	-0.186063507
637798467	0.063137595
637798468	-0.052572313
637798469	-0.053727655
637798470	-0.002542069
637798471	0.10515018
637798472	-0.19403823
637798473	0.050171959
637798474	-0.118692822
637798475	-0.249897065
637798476	0.044722388
637798477	0.227712986
637798478	0.136151119
637798479	-0.030259309
637798480	0.122039717
637798481	-0.166839745
637798482	-0.05652313
637798483	0.031040013
637798484	0.008908616
637798485	-0.19528206
637798486	0.032859794
637798487	-0.113162221
637798488	-0.031423894
637798489	0.214878512
637798490	0.06503192
637798491	-0.149628
637798492	-0.490930052
637798493	-0.220333925
637798494	0.078487874
637798495	-0.051097968
637798496	-0.03005975
637798497	0.07134967
637798498	-0.188606236
637798499	-0.130005316
637798500	0.23265853
637798501	-0.326813674
637798502	-0.554423432
637798503	-0.007526588
637798504	-0.306389149
637798505	0.297022006
637798506	-0.715678057
637798507	-0.294487098
637798508	-0.008739546
637798509	-0.185345996
637798510	0.086561532
637798511	-0.084494641
637798512	0.128033161
637798513	-0.082199223
637798514	0.021126342
637798515	-0.295413113
637798516	0.050661935
637798517	-0.020217317
637798518	0.065429134
637798519	0.054642056
637798520	-0.264359683
637798521	0.049150658
637798522	-0.012249463
637798523	-0.146131396
637798524	0.091386758
637798525	-0.176673118
637798526	-0.650383574
637798527	-0.148978482
637798528	-0.052501376
637798529	-0.145752133
637798530	0.082164629
637798531	0.058596146
637798532	-0.114843071
637798533	-0.268444351
637798534	0.047302524
637798535	0.190940796
637798536	-0.340181853
637798537	-0.062301703
637798538	0.086506389
637798539	0.302448849
637798540	0.259513955
637798541	-0.144648426
637798542	0.071807019
637798543	0.157768411
637798544	-0.201888238
637798545	-0.269369534
637798546	-0.214057342
637798547	0.13915091
637798548	-0.142008783
637798549	-0.292803584
637798550	-0.003985884
637798551	-0.023483214
637798552	0.002748169
637798553	-0.133691995
637798554	-0.087795994
637798555	0.047498993
637798556	-0.050974444
637798557	0.052535813
637798558	-0.134922235
637798559	-0.190561592
637798560	0.035337043
637798561	-0.029796615
637798562	-0.083718395
637798563	-0.440246091
637798564	-0.194267783
637798565	0.029484357
637798566	-0.119873037
637798567	0.142477164
637798568	-0.025596672
637798569	-0.142176031
637798570	-0.124851339
637798571	0.014834235
637798572	-0.238946674
637798573	0.181766886
637798574	-0.309880653
637798575	0.053280936
637798576	0.013191854
637798577	0.01349889
637798578	0.212391319
637798579	0.096113822
637798580	-0.064258037
637798581	-0.071413889
637798582	-0.241585998
637798583	0.012143469
637798584	-0.010364602
637798585	0.129569256
637798586	-0.202924239
637798587	-0.491523265
637798588	0.249784062
637798589	-0.319103956
637798590	-0.190658387
637798591	-0.054858397
637798592	0.245352068
637798593	-0.152645941
637798594	-0.023012712
637798595	-0.200706106
637798596	-0.01532767
637798597	0.161827577
637798598	-0.283503192
637798599	-0.198679077
637798600	0.059040723
637798601	-0.10942213
637798602	0.191417102
637798603	0.123913144
637798604	-0.379503565
637798605	0.031355916
637798606	-0.256635793
637798607	-0.201026673
637798608	-0.085979613
637798609	-0.069061433
637798610	-0.064984809
637798611	0.027986413
637798612	0.003106455
637798613	0.179669335
637798614	-0.03092324
637798615	-0.011654571
637798616	0.03251945
637798617	0.07259189
637798618	0.045083172
637798619	-0.057938048
637798620	-0.281225531
637798621	-0.458155269
637798622	0.017541036
637798623	0.039238682
637798624	0.003954113
637798625	0.147581762
637798626	-0.021372146
637798627	0.09859482
637798628	0.090045063
637798629	-0.10966074
637798630	-0.47537204
637798631	0.081364495
637798632	0.083573627
637798633	0.074664902
637798634	0.076873957
637798635	-0.131454325
637798636	0.091796202
637798637	-0.044331499
637798638	0.104684967
637798639	-0.16149476
637798640	0.087984929
637798641	-0.034270941
637798642	-0.34977351
637798643	0.017258511
637798644	-0.181668606
637798645	0.021379399
637798646	-0.046702153
637798647	0.112938925
637798648	-0.147775004
637798649	-0.388322611
637798650	-0.820019211
637798651	-0.756741797
637798652	0.143440902
637798653	0.054241632
637798654	0.025593338
637798655	-0.004814555
637798656	-0.144222184
637798657	0.080495992
637798658	-0.01616407
637798659	-0.571025393
637798660	-0.074193064
637798661	-0.34276459
637798662	-0.291991533
637798663	0.04318762
637798664	-0.328078049
637798665	-0.345910164
637798666	0.241967552
637798667	0.099557235
637798668	0.030731612
637798669	-0.094968118
637798670	-0.019562126
637798671	0.09307552
637798672	0.186021233
637798673	-0.022340872
637798674	0.033960263
637798675	0.172202169
637798676	-0.010965798
637798677	0.230899953
637798678	-0.056125346
637798679	0.260912522
637798680	-0.179045363
637798681	-0.123719519
637798682	-0.093803975
637798683	-0.045055572
637798684	-0.094110348
637798685	-0.042102822
637798686	0.093545109
637798687	-0.164834021
637798688	-0.06409001
637798689	0.128908668
637798690	0.039120551
637798691	-0.048140429
637798692	-0.110316796
637798693	0.019182864
637798694	0.190649901
637798695	-0.165656045
637798696	0.3661755
637798697	-0.158095112
637798698	0.139567735
637798699	0.065250152
637798700	0.292636367
637798701	-0.074422994
637798702	-0.065632799
637798703	-0.531306954
637798704	-0.055989191
637798705	-0.11909308
637798706	0.069965301
637798707	-0.18752962
637798708	-0.163231724
637798709	-0.225806512
637798710	-0.823183038
637798711	-0.329088238
637798712	-0.06901385
637798713	-0.150367939
637798714	-0.269950527
637798715	-0.271810734
637798716	0.032348573
637798717	0.051797879
637798718	-0.306335639
637798719	-0.043673185
637798720	-0.024614521
637798721	-0.026796319
637798722	-0.334481986
637798723	-0.154556667
637798724	-0.150453342
637798725	0.175307241
637798726	0.03007826
637798727	-0.034290542
637798728	0.027244165
637798729	-0.109753999
637798730	0.044327619
637798731	0.393432107
637798732	-0.065148128
637798733	0.054579142
637798734	0.173379758
637798735	0.232712235
637798736	0.184109487
637798737	0.15821902
637798738	0.312412905
637798739	0.432588957
637798740	0.541179208
637798741	0.211984722
637798742	0.374969973
637798743	0.204198211
637798744	0.172604882
637798745	-0.054201384
637798746	0.140570604
637798747	-0.013084573
637798748	-0.518383112
637798749	-0.466877859
637798750	-0.433491187
637798751	-0.034176416
637798752	-0.301105233
637798753	0.137516468
637798754	-0.248259996
637798755	-0.152070001
637798756	0.004439579
637798757	-0.094196024
637798758	0.087974013
637798759	-0.031197071
637798760	0.031418147
637798761	-0.160237693
637798762	-0.065694994
637798763	0.015954808
637798764	0.188997298
637798765	0.278753967
637798766	-0.070211185
637798767	0.046631613
637798768	0.281573063
637798769	-0.02478907
637798770	-0.227208957
637798771	-0.7317395
637798772	0.043665281
637798773	0.039303996
637798774	0.051887171
637798775	-0.212448467
637798776	-0.580980218
637798777	-0.2262167
637798778	-0.097198073
637798779	-0.059246118
637798780	-0.551463768
637798781	-0.006849191
637798782	-0.171207716
637798783	-0.204400956
637798784	-0.392242019
637798785	-0.231628637
637798786	-0.037923441
637798787	-0.472088968
637798788	-0.191171284
637798789	-0.510452186
637798790	0.13257032
637798791	0.101677945
637798792	0.064938805
637798793	0.116510517
637798794	0.023877516
637798795	-0.019381913
637798796	0.033696929
637798797	-0.483827966
637798798	0.131631799
637798799	-0.022875936
637798800	-0.063942427
637798801	-0.082844799
637798802	0.13220523
637798803	0.171594378
637798804	-0.086564481
637798805	0.072681385
637798806	-0.194459986
637798807	-0.333791416
637798808	0.048332999
637798809	-0.302980657
637798810	0.007840067
637798811	0.072935442
637798812	0.089533262
637798813	-0.02137292
637798814	-0.114983319
637798815	-0.113233728
637798816	0.001559565
637798817	0.031045274
637798818	0.17544795
637798819	-0.056198376
637798820	0.153743058
637798821	-0.0324938
637798822	0.007132983
637798823	-0.029323956
637798824	-0.134105468
637798825	-0.095461955
637798826	0.024815125
637798827	-0.166710801
637798828	-0.700115095
637798829	0.026439514
637798830	-0.36086781
637798831	-0.361356883
637798832	0.348681514
637798833	-0.004518554
637798834	-0.208964415
637798835	-0.1442792
637798836	-0.470215978
637798837	-0.072627506
637798838	-0.095121107
637798839	-0.3876309
637798840	-0.028280132
637798841	0.019088905
637798842	0.200817518
637798843	-0.26381289
637798844	-0.237036618
637798845	0.063071456
637798846	0.011645353
637798847	-0.167322873
637798848	-0.293736156
637798849	-0.199575945
637798850	-0.156930193
637798851	-0.047134201
637798852	0.297447023
637798853	-0.174949551
637798854	-0.164309031
637798855	0.025400648
637798856	-0.314079791
637798857	0.051704382
637798858	0.392722637
637798860	0.115695035
637798861	-0.057952713
637798862	-0.005444465
637798863	0.56314857
637798864	-0.032318876
637798865	0.055010563
637798866	-0.048643304
637798867	-0.035981535
637798868	0.017274879
637798869	0.026825966
637798870	0.10875331
637798871	-0.063947278
637798872	-0.295003345
637798873	0.008327817
637798874	-0.067985646
637798875	-0.339445239
637798876	-0.139317467
637798877	-0.069374751
637798878	-0.259705914
637798879	0.140238763
637798880	-0.309136696
637798881	-0.145682283
637798882	-0.086259463
637798883	-0.298944221
637798884	-0.14240238
637798885	-0.035357268
637798886	-0.012299874
637798887	0.138850706
637798888	-0.014139925
637798889	-0.011295296
637798890	-0.303675579
637798891	0.158161839
637798892	0.433041999
637798893	0.330421478
637798894	-0.202258076
637798895	-0.105118004
637798896	-0.136347237
637798897	-0.370788941
637798898	-0.217437229
637798899	-0.105331146
637798900	-0.173929766
637798901	-0.10298874
637798902	-0.30642838
637798903	0.058511313
637798904	-0.219447614
637798905	-0.372960027
