Reporter Identifier	VALUE
637798406	0.114810638
637798407	-0.106143266
637798408	0.045645398
637798409	-0.852041801
637798410	0.274382026
637798411	-0.063585098
637798412	0.098673075
637798413	-0.19700538
637798414	-0.386897713
637798415	0.14219888
637798416	-0.627113634
637798417	-0.346754953
637798418	-0.291899987
637798419	-0.193229887
637798420	0.085819916
637798421	-0.063732776
637798422	-0.022627074
637798423	-0.38278481
637798424	0.421791198
637798425	0.021833286
637798426	-0.116001655
637798427	-0.174696562
637798428	-0.148898951
637798429	0.329195574
637798430	0.208552966
637798431	-0.123070598
637798432	-0.02990633
637798433	0.52709861
637798434	0.059774424
637798435	-0.049205386
637798436	-0.028231051
637798437	0.474861519
637798438	-0.163419825
637798439	0.05333056
637798440	0.192071595
637798441	0.104518261
637798442	-0.166226799
637798443	-0.119674468
637798444	0.270992328
637798445	0.26160693
637798446	-0.044849584
637798448	-0.528725362
637798449	-0.131814117
637798450	-0.181032438
637798451	0.112257597
637798452	-0.238561449
637798453	-0.215549506
637798454	-0.649321814
637798455	-0.714088912
637798456	-0.084962953
637798457	-0.072316979
637798458	-0.16262649
637798459	-0.190776426
637798460	-0.067237235
637798461	-0.075276883
637798462	0.12507409
637798463	-0.001379124
637798464	0.095444136
637798465	0.126885823
637798466	0.042186914
637798467	0.076500098
637798468	0.015593295
637798469	-0.065494109
637798470	-0.046196707
637798471	0.176372021
637798472	-0.058782799
637798473	-0.088087007
637798474	-0.170948185
637798475	0.416748991
637798476	-0.112814362
637798477	-0.185298673
637798478	-0.174676382
637798479	0.011886014
637798480	0.343734645
637798481	-0.236967917
637798482	-0.076447566
637798483	-0.148850457
637798484	-0.127913465
637798485	0.062053848
637798486	-0.086596795
637798487	-0.045817421
637798488	-0.223816463
637798489	-0.058345235
637798490	-0.050730695
637798491	0.361405861
637798492	0.321708764
637798493	0.260891002
637798494	0.046352512
637798495	-0.043609905
637798496	-0.313316366
637798497	-0.06561956
637798498	-0.499641001
637798499	-0.254638518
637798500	-0.060667666
637798501	0.114173252
637798502	0.272338917
637798503	0.023782254
637798504	-0.126157396
637798505	-0.294033143
637798506	0.496175234
637798507	-0.40565529
637798508	0.097681883
637798509	0.058297036
637798510	-0.05675058
637798511	-0.036586127
637798512	-0.186803717
637798513	-0.066805151
637798514	0.083355524
637798515	0.116608151
637798516	0.109725113
637798517	0.031500435
637798518	0.034264718
637798519	0.212648314
637798520	-0.790711497
637798521	0.006067331
637798522	0.135934953
637798523	0.132683932
637798524	-0.223728987
637798525	-0.187211801
637798526	0.176637238
637798527	-0.0259214
637798528	0.102212533
637798529	-0.028704144
637798530	0.014736679
637798531	-0.049506463
637798532	-0.267150325
637798533	-0.067796314
637798534	0.091230869
637798535	0.12991474
637798536	0.269807514
637798537	0.190115391
637798538	-0.104492871
637798539	0.116510216
637798540	-0.034562617
637798541	-0.027173927
637798542	0.054636731
637798543	-0.284864398
637798544	-0.20289876
637798545	-0.377504128
637798546	-0.145300599
637798547	0.140796954
637798548	-0.103533243
637798549	-0.29853872
637798550	-0.107247848
637798551	0.443725842
637798552	0.026992052
637798553	0.038656413
637798554	0.208819822
637798555	-0.134600524
637798556	-0.182847279
637798557	-0.052557665
637798558	-0.096204981
637798559	-0.172438588
637798560	0.196469911
637798561	0.033926821
637798562	-0.497938036
637798563	0.34871763
637798564	-0.3866989
637798565	-0.015108174
637798566	0.263315997
637798567	-0.329945864
637798568	0.066021418
637798569	0.053574012
637798570	-0.131435819
637798571	-0.108197669
637798572	-0.056101081
637798573	-0.584713122
637798574	-0.090317872
637798575	0.118304898
637798576	0.089495217
637798577	-0.119033576
637798578	-0.048995968
637798579	-0.212309497
637798580	-0.146602105
637798581	0.021462364
637798582	0.045352609
637798583	0.089199714
637798584	-0.010780842
637798585	-0.212942348
637798586	0.23562485
637798587	0.020242172
637798588	-0.066049272
637798589	-0.309933528
637798590	-0.033106075
637798591	0.00980491
637798592	-0.046459125
637798593	0.109156302
637798594	-0.140332578
637798595	-0.003901322
637798596	-0.07215558
637798597	-0.323090841
637798598	-0.393590836
637798599	-0.000742799
637798600	-0.080854137
637798601	0.157646781
637798602	0.28633275
637798603	-0.118566721
637798604	0.332212097
637798605	0.214572569
637798606	0.446690928
637798607	0.290409429
637798608	0.162813437
637798609	0.178919417
637798610	0.161993193
637798611	0.145881641
637798612	0.009743348
637798613	-0.018641027
637798614	-0.126235539
637798615	-0.176662292
637798616	0.015178392
637798617	0.131766579
637798618	-0.142060582
637798619	0.334100891
637798620	-0.326780729
637798621	0.067178921
637798622	0.033894229
637798623	-0.17052639
637798624	-0.28136377
637798625	-0.10312624
637798626	-0.046929112
637798627	-0.007338247
637798628	-0.008543552
637798629	-0.120496488
637798630	-0.267414261
637798631	-0.644069824
637798632	-0.322026424
637798633	-0.118224325
637798634	-0.305470049
637798635	-0.206080397
637798636	0.292879119
637798637	0.131563228
637798638	0.232521866
637798639	-0.140689426
637798640	0.012835984
